ID_Pedido,Data_Venda,Categoria,Preco_Unitario,Quantidade,Idade_Cliente
28,2023-02-10 00:00:00,Roupas,116.60163228127678,8.0,33.0
29,2023-12-25 00:00:00,Alimentos,134.88573352374686,4.0,57.0
30,2023-11-26 00:00:00,Roupas,111.86029427664027,4.0,71.0
31,2023-04-10 00:00:00,Eletrônicos,133.56939084623698,3.0,47.0
32,2023-07-24 00:00:00,Alimentos,179.93187513942888,6.0,34.0
33,2023-01-12 00:00:00,Beleza,149.55455800502986,2.0,37.0
34,2023-09-14 00:00:00,Beleza,44.693558280689956,3.0,67.0
35,2023-04-10 00:00:00,Beleza,134.99946664496434,9.0,
36,2023-07-26 00:00:00,Eletrônicos,,4.0,49.0
37,2023-06-19 00:00:00,Alimentos,181.54004994402942,1.0,49.0
38,2023-05-24 00:00:00,Eletrônicos,166.5196418014865,6.0,27.0
39,2023-10-07 00:00:00,Roupas,139.2602463519265,9.0,63.0
40,2023-05-20 00:00:00,Beleza,180.61837893506063,4.0,39.0
41,2023-03-13 00:00:00,Casa,"R$ 89,28",7.0,28.0
42,2023-12-06 00:00:00,Alimentos,177.35129048684502,4.0,28.0
43,2023-01-25 00:00:00,Casa,168.41784201914592,1.0,53.0
44,2023-03-17 00:00:00,Roupas,136.8772630432847,6.0,54.0
45,2023-07-19 00:00:00,Roupas,100.93036792729826,5.0,18.0
46,2023-04-17 00:00:00,Roupas,159.23223135244191,5.0,22.0
47,2023-12-19 00:00:00,Alimentos,128.81865813087472,7.0,20.0
48,2023-12-21 00:00:00,Eletrônico ,115.83922169943898,5.0,36.0
49,2023-11-06 00:00:00,Casa,117.030543862375,9.0,58.0
50,2023-01-22 00:00:00,Eletrônicos,43.58123595207202,9.0,41.0
51,2023-03-21 00:00:00,Casa,213.7307046372449,7.0,40.0
52,2023-10-16 00:00:00,Casa,202.13493683313203,8.0,74.0
53,2023-08-11 00:00:00,Beleza,163.69264584187988,6.0,25.0
54,2023-12-05 00:00:00,Eletrônicos,121.92067650120623,9.0,66.0
55,2023-09-11 00:00:00,Beleza,150.27334492101315,4.0,59.0
56,2023-07-04 00:00:00,Alimentos,156.91677251257244,1.0,22.0
57,2023-10-12 00:00:00,Eletrônicos,134.15387237315696,3.0,22.0
58,2023-12-20 00:00:00,Roupas,111.18245747193649,5.0,25.0
59,2023-12-18 00:00:00,Casa,165.18581489706406,6.0,44.0
60,2023-10-10 00:00:00,Alimentos,116.56612541981697,4.0,44.0
61,2023-08-02 00:00:00,Beleza,163.87914547857218,3.0,74.0
62,2023-11-19 00:00:00,Alimentos,190.72129240334357,2.0,74.0
63,2023-04-07 00:00:00,ELETRONICOS,107.85392121904198,5.0,52.0
64,2023-11-07 00:00:00,Eletrônicos,160.5056772347147,3.0,68.0
65,2023-03-16 00:00:00,Beleza,202.6514680635297,6.0,50.0
66,2023-04-09 00:00:00,Alimentos,158.24719544635002,1.0,41.0
67,2023-06-22 00:00:00,Roupas,154.3066825970177,9.0,
68,2023-05-25 00:00:00,csa,111.55447019082911,8.0,41.0
69,2023-05-13 00:00:00,Alimentos,100.48155857700576,5.0,48.0
70,2023-08-18 00:00:00,Roupas,153.03007349204591,7.0,34.0
71,2023-05-10 00:00:00,Eletrônicos,267.1410562784564,7.0,18.0
72,2023-08-04 00:00:00,Casa,181.04155508777882,7.0,42.0
73,2023-03-22 00:00:00,Alimentos,237.76405203180838,8.0,44.0
74,2023-11-21 00:00:00,Beleza,109.90228459398975,2.0,40.0
75,2023-05-10 00:00:00,Roupas,"R$ 150,23",2.0,32.0
76,2023-08-18 00:00:00,Alimentos,69.85079297784588,9.0,74.0
77,2023-05-14 00:00:00,Eletrônicos,181.32583246185544,6.0,44.0
78,2023-01-16 00:00:00,Beleza,,6.0,60.0
79,2023-03-16 00:00:00,Casa,139.4668544142163,8.0,32.0
80,2023-08-14 00:00:00,Beleza,125.00678158088078,3.0,50.0
81,2023-02-04 00:00:00,Eletrônicos,125.5873689434209,2.0,53.0
82,2023-02-14 00:00:00,Casa,195.77713900705638,8.0,27.0
83,2023-06-28 00:00:00,Beleza,169.02225084373634,2.0,56.0
84,2023-06-02 00:00:00,Alimentos,,1.0,32.0
85,2023-02-01 00:00:00,Casa,142.25264112590156,5.0,57.0
86,2023-10-17 00:00:00,Eletrônico ,197.77255547058598,3.0,62.0
87,2023-03-24 00:00:00,Casa,105.47129174275426,1.0,29.0
88,2023-03-23 00:00:00,Casa,137.48195571604074,7.0,20.0
89,2023-08-06 00:00:00,Roupas,159.8226070148879,7.0,51.0
90,2023-08-15 00:00:00,Casa,89.7525759857993,4.0,64.0
91,2023-07-05 00:00:00,Roupas,181.11138267567216,8.0,48.0
92,2023-04-02 00:00:00,Beleza,148.03096312685773,3.0,39.0
93,2023-12-09 00:00:00,Casa,189.58229217939268,7.0,57.0
94,2023-05-30 00:00:00,Alimentos,143.8321768802333,1.0,59.0
95,2023-08-30 00:00:00,Roupas,171.73401392211255,4.0,66.0
96,2023-05-23 00:00:00,Eletrônicos,119.17645460709912,2.0,61.0
97,2023-09-22 00:00:00,Alimentos,"R$ 215,51",6.0,57.0
98,2023-07-08 00:00:00,Beleza,238.23979738001282,7.0,19.0
99,2023-10-07 00:00:00,Alimentos,,4.0,40.0
100,2023-04-25 00:00:00,Beleza,112.73185869121394,3.0,45.0
101,2023-01-22 00:00:00,CASA,,9.0,67.0
102,2023-05-02 00:00:00,Eletrônicos,206.55420929973826,6.0,52.0
103,2023-01-23 00:00:00,Roupas,217.38662542759553,9.0,57.0
104,2023-12-27 00:00:00,Roupas,157.430556460495,3.0,22.0
105,2023-11-24 00:00:00,Casa,119.11840326306,6.0,57.0
106,2023-04-14 00:00:00,Roupas,167.67259543353933,3.0,29.0
107,2023-02-16 00:00:00,Beleza,102.60998889563729,5.0,53.0
108,2023-05-23 00:00:00,Alimentos,165.282274595697,5.0,45.0
109,2023-05-03 00:00:00,Eletrônicos,157.61005791435096,3.0,32.0
110,2023-04-03 00:00:00,Beleza,265.17465862263236,1.0,42.0
111,2023-05-17 00:00:00,Beleza,,5.0,43.0
112,2023-05-03 00:00:00,Beleza,131.31575025764118,6.0,39.0
113,2023-10-05 00:00:00,Beleza,165.28665303406476,5.0,26.0
114,2023-12-20 00:00:00,Eletrônicos,212.21921338223245,4.0,26.0
115,2023-03-04 00:00:00,Roupas,160.8095062967074,4.0,45.0
116,2023-05-31 00:00:00,Roupas,160.09578334921645,5.0,71.0
117,2023-12-01 00:00:00,Alimentos,,4.0,40.0
118,2023-02-25 00:00:00,Eletrônicos,144.4513932591578,3.0,31.0
119,2023-05-09 00:00:00,Beleza,142.84564299010395,8.0,45.0
120,2023-03-30 00:00:00,CASA,128.7297664173424,3.0,64.0
121,2023-11-28 00:00:00,Beleza,79.64412458302688,5.0,21.0
122,2023-09-25 00:00:00,CASA,224.61482105539952,2.0,35.0
123,2023-08-12 00:00:00,Beleza,234.4797208739954,1.0,40.0
124,2023-10-22 00:00:00,Eletrônicos,48.14726311934186,5.0,24.0
125,2023-10-03 00:00:00,Alimentos,168.3272509394095,8.0,35.0
126,2023-02-04 00:00:00,Roupas,89.23838959368263,7.0,59.0
127,2023-12-10 00:00:00,Beleza,105.72758011934397,2.0,51.0
128,2023-08-01 00:00:00,Roupas,79.02593684847848,7.0,57.0
129,2023-09-17 00:00:00,Roupas,,8.0,36.0
130,2023-08-09 00:00:00,Roupas,247.05398807075613,6.0,65.0
131,2023-08-28 00:00:00,Roupas,164.05834479904365,5.0,30.0
132,2023-08-09 00:00:00,Eletrônicos,176.43422858582255,,34.0
133,2023-06-16 00:00:00,Beleza,130.66614146720417,2.0,27.0
134,2023-05-13 00:00:00,Casa,170.49713523751944,4.0,42.0
135,2023-03-28 00:00:00,Eletrônicos,40.92898310160203,5.0,42.0
136,2023-07-29 00:00:00,Alimentos,182.04110830528293,5.0,18.0
137,2023-08-11 00:00:00,Beleza,175.23790690750002,4.0,38.0
138,2023-04-08 00:00:00,Eletrônicos,224.36634693846418,6.0,19.0
139,2023-12-01 00:00:00,Alimentos,118.7588354841221,1.0,42.0
140,2023-10-30 00:00:00,Eletrônicos,182.61685838323686,2.0,38.0
141,2023-04-02 00:00:00,Eletrônicos,,2.0,26.0
142,2023-07-11 00:00:00,Casa,182.80578268160286,1.0,45.0
143,2023-10-24 00:00:00,Eletrônicos,200.39808586271468,4.0,35.0
144,2023-06-03 00:00:00,Roupas,249.34916179815002,4.0,56.0
145,2023-12-14 00:00:00,Roupas,219.88883477352283,8.0,43.0
146,2023-04-29 00:00:00,Alimentos,134.06593643370243,9.0,55.0
147,2023-06-25 00:00:00,Alimentos,169.3644170418499,4.0,25.0
148,2023-12-30 00:00:00,Alimentos,236.34074768522876,9.0,59.0
149,2023-07-02 00:00:00,Eletrônicos,214.8171338164002,3.0,28.0
150,2023-11-08 00:00:00,Alimentos,163.1168737705175,1.0,40.0
151,2023-12-18 00:00:00,Beleza,131.70655214208102,9.0,35.0
152,2023-11-19 00:00:00,Beleza,177.1625406964787,8.0,22.0
153,2023-10-14 00:00:00,Alimentos,108.24417073948561,9.0,67.0
154,2023-08-13 00:00:00,Casa,56.21023216670919,2.0,50.0
155,2023-10-13 00:00:00,Beleza,203.43822234350736,2.0,67.0
156,2023-02-08 00:00:00,Beleza,252.8011221429814,2.0,43.0
157,2023-04-06 00:00:00,Eletrônicos,159.00338862944915,9.0,73.0
158,2023-10-18 00:00:00,Casa,140.80486775655868,7.0,67.0
159,2023-03-22 00:00:00,Roupas,120.65669218386388,6.0,35.0
160,2023-03-01 00:00:00,Casa,,7.0,32.0
161,2023-05-09 00:00:00,Beleza,-50.0,9.0,64.0
162,2023-05-02 00:00:00,Alimentos,234.48990770343863,9.0,25.0
163,2023-12-08 00:00:00,Beleza,195.20151283863055,3.0,37.0
164,2023-07-15 00:00:00,Alimentos,98.63274366518131,9.0,72.0
165,2023-12-31 00:00:00,Alimentos,184.98257808606343,2.0,40.0
166,2023-03-05 00:00:00,Alimentos,,3.0,45.0
167,2023-10-20 00:00:00,Casa,59.11921537711447,3.0,
168,2023-03-29 00:00:00,Roupas,,2.0,
169,2023-05-11 00:00:00,Alimentos,113.90011606443116,9.0,48.0
170,2023-12-09 00:00:00,Eletrônicos,"R$ 114,71",4.0,63.0
171,2023-03-25 00:00:00,Roupas,221.7705670938144,1.0,18.0
172,2023-01-07 00:00:00,Eletrônicos,,3.0,30.0
173,2023-04-26 00:00:00,Casa,236.8330028288259,2.0,60.0
174,2023-03-18 00:00:00,ROUPAS,"R$ 178,70",8.0,71.0
175,2023-05-28 00:00:00,Roupas,176.77417990275313,9.0,67.0
176,2023-05-25 00:00:00,Casa,108.22953393482638,5.0,45.0
177,2023-11-03 00:00:00,Roupas,20.70367890442219,1.0,30.0
178,2023-09-29 00:00:00,Alimentos,158.8866523505589,6.0,30.0
179,2023-11-18 00:00:00,Eletrônico ,143.12321114576747,3.0,
180,2023-09-14 00:00:00,Eletrônicos,262.18895144459304,8.0,27.0
181,2023-11-24 00:00:00,Eletrônicos,122.96241963911532,6.0,67.0
182,2023-11-26 00:00:00,Alimentos,145.78721504914546,2.0,32.0
183,2023-08-08 00:00:00,Alimentos,176.81904035070949,7.0,64.0
184,2023-10-29 00:00:00,Alimentos,207.66760263377716,4.0,58.0
185,2023-10-09 00:00:00,Beleza,172.31144474459109,4.0,20.0
186,2023-07-28 00:00:00,Roupas,158.08216618522562,5.0,24.0
187,2023-12-15 00:00:00,Alimentos,176.48836958528048,1.0,71.0
188,2023-06-23 00:00:00,Roupas,204.09755540793816,,29.0
189,2023-01-03 00:00:00,Alimentos,,8.0,26.0
190,2023-04-25 00:00:00,Casa,161.62378143351089,9.0,41.0
191,2023-06-26 00:00:00,Beleza,169.87681834451084,9.0,63.0
192,2023-05-01 00:00:00,Roupas,236.67613039364562,9.0,21.0
193,2023-01-04 00:00:00,Beleza,239.83783394204164,2.0,30.0
194,2023-11-03 00:00:00,Alimentos,154.0189348871375,2.0,55.0
195,2023-10-18 00:00:00,Eletrônicos,66.8695660956825,8.0,68.0
196,2023-05-07 00:00:00,Alimentos,154.7767225302418,3.0,39.0
197,2023-09-05 00:00:00,Eletrônicos,105.21868040952295,9.0,23.0
198,2023-08-22 00:00:00,Beleza,"R$ 174,17",3.0,53.0
199,2023-12-21 00:00:00,Beleza,"R$ 143,02",9.0,71.0
200,2023-03-21 00:00:00,Casa,115.64008421075627,1.0,72.0
201,2023-01-13 00:00:00,Alimentos,163.41374646847063,7.0,67.0
202,2023-08-11 00:00:00,Alimentos,80.36525302292948,4.0,59.0
203,2023-05-09 00:00:00,ELETRONICOS,203.60577039911237,3.0,18.0
204,2023-09-10 00:00:00,Casa,87.82306141550112,7.0,20.0
205,2023-03-06 00:00:00,Beleza,112.89226561405052,4.0,37.0
206,2023-09-15 00:00:00,Eletrônicos,118.64675878106284,3.0,50.0
207,2023-12-07 00:00:00,Roupas,215.9502347967115,3.0,29.0
208,2023-03-09 00:00:00,Beleza,114.59860483318744,9.0,39.0
209,2023-08-25 00:00:00,Roupas,"R$ 223,88",3.0,30.0
210,2023-08-06 00:00:00,Alimentos,141.12204161345784,1.0,62.0
211,2023-02-18 00:00:00,Alimentos,77.0048606389794,1.0,27.0
212,2023-11-03 00:00:00,Alimentos,129.2534244695213,8.0,23.0
213,2023-05-05 00:00:00,csa,199.10702884631746,2.0,46.0
214,2023-03-27 00:00:00,Eletrônicos,"R$ 211,81",6.0,53.0
215,2023-06-24 00:00:00,Casa,130.80995289566087,6.0,50.0
216,2023-04-18 00:00:00,Roupas,137.93262722466906,4.0,65.0
217,2023-10-20 00:00:00,Beleza,90.5355440346325,6.0,30.0
218,2023-08-26 00:00:00,Alimentos,248.2703767063333,3.0,60.0
219,2023-05-04 00:00:00,Eletrônicos,146.1962676448453,3.0,50.0
220,2023-12-19 00:00:00,Beleza,125.19961851099953,6.0,24.0
221,2023-05-11 00:00:00,Eletrônicos,136.8754228398423,9.0,56.0
222,2023-06-28 00:00:00,Eletrônicos,164.15730898759472,9.0,36.0
223,2023-09-19 00:00:00,Beleza,146.4965161725379,7.0,54.0
224,2023-11-17 00:00:00,Alimentos,,6.0,51.0
225,2023-08-29 00:00:00,Beleza,196.0750734636043,8.0,31.0
226,2023-07-29 00:00:00,Alimentos,137.95332507820834,9.0,24.0
227,2023-11-03 00:00:00,Alimentos,143.813353985679,4.0,69.0
228,2023-10-06 00:00:00,Eletrônico ,45.78109383617668,5.0,71.0
229,2023-12-09 00:00:00,Roupas,147.14909062201934,6.0,62.0
230,2023-10-12 00:00:00,Casa,219.39925744189122,7.0,40.0
231,2023-01-20 00:00:00,Alimentos,179.26179666491095,3.0,19.0
232,2023-11-05 00:00:00,Casa,171.65924608339205,1.0,74.0
233,2023-08-09 00:00:00,Beleza,193.4351685109281,5.0,42.0
234,2023-10-24 00:00:00,Eletrônicos,84.84528328541532,5.0,69.0
235,2023-01-03 00:00:00,Alimentos,68.0620034610669,6.0,53.0
236,2023-02-22 00:00:00,Casa,189.81626179575028,2.0,55.0
237,2023-03-04 00:00:00,Beleza,98.07248440363807,5.0,70.0
238,2023-02-12 00:00:00,Beleza,,9.0,66.0
239,2023-10-05 00:00:00,Roupas,151.03774553535905,7.0,70.0
240,2023-02-22 00:00:00,Roupas,160.37301296014607,4.0,21.0
241,2023-04-15 00:00:00,Alimentos,81.59895411010652,1.0,72.0
242,2023-10-05 00:00:00,Roupas,188.60882451386078,1.0,68.0
243,2023-02-22 00:00:00,Alimentos,126.10019990625844,8.0,18.0
244,2023-10-04 00:00:00,Casa,,8.0,63.0
245,2023-06-22 00:00:00,Alimentos,216.6691996656766,4.0,56.0
246,2023-06-01 00:00:00,Eletrônicos,103.90393818134241,5.0,45.0
247,2023-12-12 00:00:00,Beleza,155.5215378077569,6.0,62.0
248,2023-02-10 00:00:00,Beleza,161.35895638938774,5.0,24.0
249,2023-11-18 00:00:00,Casa,176.09109679637606,1.0,37.0
250,2023-01-03 00:00:00,Alimentos,"R$ 78,82",9.0,42.0
251,2023-07-29 00:00:00,Casa,128.42141339608557,9.0,37.0
252,2023-07-13 00:00:00,Beleza,167.4148992812297,1.0,27.0
253,2023-06-25 00:00:00,Alimentos,120.70053789736747,8.0,71.0
254,2023-08-23 00:00:00,Casa,225.31038747277364,7.0,
255,2023-09-29 00:00:00,Eletrônico ,77.09808491812645,,41.0
256,2023-03-15 00:00:00,Beleza,129.1620718284878,9.0,57.0
257,2023-11-02 00:00:00,Eletrônicos,120.02901364195299,4.0,64.0
258,2023-02-01 00:00:00,Alimentos,166.9937250010561,7.0,49.0
259,2023-10-10 00:00:00,Beleza,128.12970384045184,5.0,52.0
260,2023-11-09 00:00:00,Eletrônicos,-50.0,8.0,54.0
261,2023-02-20 00:00:00,Beleza,,5.0,47.0
262,2023-02-09 00:00:00,Eletrônicos,171.4764955076089,1.0,74.0
263,2023-02-23 00:00:00,Beleza,131.41480667955744,9.0,66.0
264,2023-11-16 00:00:00,Casa,219.3698303933298,6.0,45.0
265,2023-08-01 00:00:00,Eletrônicos,146.57812955914696,6.0,65.0
266,2023-05-16 00:00:00,Alimentos,210.5781937087679,4.0,27.0
267,2023-12-06 00:00:00,Casa,,4.0,63.0
268,2023-03-20 00:00:00,Beleza,94.11158273026865,7.0,46.0
269,2023-07-09 00:00:00,Beleza,120.44882912646851,4.0,
270,2023-03-07 00:00:00,Alimentos,164.05990506825745,8.0,40.0
271,2023-04-02 00:00:00,Alimentos,146.56031156157246,2.0,20.0
272,2023-02-08 00:00:00,Eletrônicos,188.64744383888598,6.0,68.0
273,2023-01-05 00:00:00,Beleza,156.3330212727099,7.0,31.0
274,2023-03-22 00:00:00,Roupas,256.99381099931543,9.0,69.0
275,2023-05-01 00:00:00,Alimentos,128.04915706535127,4.0,52.0
276,2023-07-06 00:00:00,Alimentos,145.75782776457314,5.0,64.0
277,2023-11-29 00:00:00,Casa,143.21569202026572,5.0,68.0
278,2023-12-30 00:00:00,Beleza,128.33607995967114,7.0,
279,2023-08-07 00:00:00,Eletrônicos,181.83541199813143,1.0,70.0
280,2023-12-28 00:00:00,Roupas,134.36665001018955,8.0,21.0
281,2023-08-08 00:00:00,Beleza,159.09785028665783,8.0,51.0
282,2023-07-06 00:00:00,Roupas,280.0050728708135,9.0,65.0
283,2023-06-29 00:00:00,Alimentos,104.84054000737255,2.0,38.0
284,2023-02-21 00:00:00,Eletrônicos,122.9730035090025,3.0,60.0
285,2023-05-13 00:00:00,Eletrônicos,102.86649292672377,6.0,59.0
286,2023-03-04 00:00:00,Beleza,91.27015699293923,2.0,45.0
287,2023-03-16 00:00:00,Casa,99.66087904117148,2.0,53.0
288,2023-08-28 00:00:00,Beleza,145.24115287125855,3.0,53.0
289,2023-03-07 00:00:00,Beleza,,6.0,68.0
290,2023-05-22 00:00:00,Eletrônicos,"R$ 159,38",2.0,68.0
291,2023-08-18 00:00:00,ROUPAS,,2.0,51.0
292,2023-06-16 00:00:00,Casa,147.47558049905518,6.0,31.0
293,2023-02-05 00:00:00,Eletrônicos,185.9098881843494,7.0,24.0
294,2023-06-08 00:00:00,Eletrônicos,184.9978278643889,7.0,54.0
295,2023-01-03 00:00:00,Casa,153.11946144276303,7.0,42.0
296,2023-04-16 00:00:00,Eletrônicos,177.76075768648056,4.0,37.0
297,2023-03-05 00:00:00,Casa,"R$ 184,90",7.0,58.0
298,2023-12-28 00:00:00,Alimentos,100.36144610777073,1.0,35.0
299,2023-12-06 00:00:00,Roupas,211.97711233529677,8.0,64.0
300,2023-06-25 00:00:00,Beleza,178.396852219215,8.0,73.0
301,2023-04-06 00:00:00,Alimentos,111.52345824146171,9.0,71.0
302,2023-06-04 00:00:00,Alimentos,190.0642564919967,8.0,35.0
303,2023-06-15 00:00:00,Eletrônicos,123.03070783179666,9.0,42.0
304,2023-07-23 00:00:00,roupa,193.65236302353875,,52.0
305,2023-03-29 00:00:00,Casa,126.33414313385674,6.0,41.0
306,2023-12-04 00:00:00,Casa,84.21838252656579,5.0,69.0
307,2023-06-25 00:00:00,Eletrônicos,148.88298235291498,6.0,55.0
308,2023-05-21 00:00:00,Casa,166.04385586706317,7.0,34.0
309,2023-09-12 00:00:00,Casa,104.86625320332448,7.0,20.0
310,2023-11-07 00:00:00,Roupas,111.4027815401987,,53.0
311,2023-06-25 00:00:00,Beleza,267.833999553193,5.0,66.0
312,2023-04-18 00:00:00,Casa,125.13627032054451,3.0,30.0
313,2023-06-30 00:00:00,CASA,148.2905582628383,5.0,39.0
314,2023-11-21 00:00:00,Roupas,125.24483869476315,5.0,59.0
315,2023-10-24 00:00:00,Beleza,182.12577327647597,8.0,20.0
316,2023-05-02 00:00:00,Roupas,104.33229470404052,8.0,62.0
317,2023-03-21 00:00:00,Eletrônicos,136.56001103479625,7.0,61.0
318,2023-02-08 00:00:00,Beleza,154.49837593230225,6.0,69.0
319,2023-09-25 00:00:00,Beleza,139.6259059017259,7.0,46.0
320,2023-09-15 00:00:00,Eletrônicos,230.31928131576728,8.0,27.0
321,2023-08-18 00:00:00,Casa,181.4806332504705,2.0,22.0
322,2023-06-21 00:00:00,Casa,163.6441695094634,1.0,
323,2023-05-11 00:00:00,Eletrônicos,101.26693895327529,1.0,52.0
324,2023-11-21 00:00:00,Beleza,114.86241508109829,1.0,62.0
325,2023-02-21 00:00:00,Beleza,,,62.0
326,2023-10-08 00:00:00,Roupas,169.7373510630852,6.0,59.0
327,2023-12-14 00:00:00,Roupas,142.43073965180096,3.0,39.0
328,2023-08-25 00:00:00,Roupas,136.23032310425253,2.0,52.0
329,2023-07-06 00:00:00,Beleza,124.43862968403326,9.0,59.0
330,2023-06-20 00:00:00,Beleza,110.93169665954312,7.0,-5.0
331,2023-10-12 00:00:00,Casa,126.04122208073498,7.0,42.0
332,2023-10-12 00:00:00,csa,214.94120686624493,6.0,60.0
333,2023-07-30 00:00:00,Casa,156.76217638284635,1.0,56.0
334,2023-03-04 00:00:00,Roupas,171.46260866534206,5.0,29.0
335,2023-12-14 00:00:00,Eletrônicos,82.44701315719102,1.0,69.0
336,2023-05-23 00:00:00,Beleza,160.07254467081506,3.0,38.0
337,2023-01-29 00:00:00,Eletrônicos,105.08896937728349,3.0,67.0
338,2023-08-29 00:00:00,Beleza,186.77122462378182,8.0,50.0
339,2023-03-02 00:00:00,Roupas,,2.0,66.0
340,2023-08-03 00:00:00,Alimentos,236.95456756748814,3.0,62.0
341,2023-12-05 00:00:00,Casa,89.88378399376602,9.0,22.0
342,2023-12-09 00:00:00,Roupas,186.31327416986167,7.0,
343,2023-08-04 00:00:00,Eletrônicos,131.9966153229986,2.0,31.0
344,2023-09-30 00:00:00,Alimentos,243.57650755857998,5.0,37.0
345,2023-06-18 00:00:00,Casa,117.50220671826267,4.0,56.0
346,2023-08-29 00:00:00,Alimentos,181.55603917681506,7.0,49.0
347,2023-05-12 00:00:00,Beleza,142.88023320264674,3.0,71.0
348,2023-12-27 00:00:00,Beleza,189.48285402006294,1.0,27.0
349,2023-06-04 00:00:00,Casa,120.1767537281878,3.0,56.0
350,2023-08-01 00:00:00,Roupas,208.61346616503087,6.0,52.0
351,2023-09-11 00:00:00,Beleza,149.8185473930804,8.0,64.0
352,2023-01-14 00:00:00,Alimentos,114.77881101340425,8.0,68.0
353,2023-10-24 00:00:00,Alimentos,111.78902183064528,3.0,18.0
354,2023-10-21 00:00:00,Alimentos,175.31816663897393,9.0,52.0
355,2023-09-27 00:00:00,Casa,"R$ 209,35",6.0,64.0
356,2023-04-23 00:00:00,Alimentos,106.04288267186624,5.0,24.0
357,2023-06-11 00:00:00,Eletrônicos,"R$ 105,61",7.0,22.0
358,2023-08-15 00:00:00,csa,192.87893637008114,7.0,49.0
359,2023-06-02 00:00:00,Eletrônicos,231.59904972331628,8.0,52.0
360,2023-10-29 00:00:00,Eletrônicos,85.0121150742542,7.0,22.0
361,2023-10-10 00:00:00,Alimentos,140.25959177262507,9.0,56.0
362,2023-08-21 00:00:00,Beleza,191.52151785717595,2.0,22.0
363,2023-03-31 00:00:00,Eletrônicos,177.97832914317615,3.0,22.0
364,2023-03-15 00:00:00,Eletrônicos,101.4908417599685,7.0,19.0
365,2023-02-26 00:00:00,Beleza,137.85664803087226,3.0,26.0
366,2023-10-31 00:00:00,Beleza,174.3482751831202,6.0,19.0
367,2023-11-15 00:00:00,Alimentos,,4.0,63.0
368,2023-12-16 00:00:00,Beleza,189.4620514220616,5.0,30.0
369,2023-06-06 00:00:00,Roupas,127.34148788978862,4.0,63.0
370,2023-09-06 00:00:00,Roupas,153.73133732611907,5.0,41.0
371,2023-01-14 00:00:00,Roupas,138.3932377649355,7.0,73.0
372,2023-09-10 00:00:00,Roupas,208.09219682805235,9.0,31.0
373,2023-09-20 00:00:00,Roupas,98.98135259546292,8.0,27.0
374,2023-02-19 00:00:00,Beleza,203.1030484270291,3.0,22.0
375,2023-08-24 00:00:00,Alimentos,225.07047586468207,1.0,34.0
376,2023-09-14 00:00:00,Alimentos,153.39848335544644,5.0,58.0
377,2023-12-25 00:00:00,Roupas,122.95719567653053,8.0,54.0
378,2023-06-19 00:00:00,Alimentos,188.93690882038348,1.0,58.0
379,2023-10-26 00:00:00,Alimentos,120.97683874970895,6.0,20.0
380,2023-08-05 00:00:00,roupa,229.66167689829186,6.0,69.0
381,2023-07-28 00:00:00,Casa,193.92205235828413,3.0,22.0
382,2023-02-24 00:00:00,Roupas,210.5905675431091,9.0,69.0
383,2023-09-27 00:00:00,Beleza,66.21888325468444,3.0,74.0
384,2023-04-25 00:00:00,Eletrônicos,"R$ 109,12",5.0,48.0
385,2023-05-31 00:00:00,Alimentos,166.20902444806143,2.0,39.0
